"Weekly Mumps Incidence, 1968-2003"
"Data provided by Project Tycho, Data Version 1.0.0, released 28 November 2013."
YEAR,WEEK,ALABAMA,ALASKA,ARIZONA,ARKANSAS,CALIFORNIA,COLORADO,CONNECTICUT,DELAWARE,DISTRICT OF COLUMBIA,FLORIDA,GEORGIA,HAWAII,IDAHO,ILLINOIS,INDIANA,IOWA,KANSAS,KENTUCKY,LOUISIANA,MAINE,MARYLAND,MASSACHUSETTS,MICHIGAN,MINNESOTA,MISSISSIPPI,MISSOURI,MONTANA,NEBRASKA,NEVADA,NEW HAMPSHIRE,NEW JERSEY,NEW MEXICO,NEW YORK,NORTH CAROLINA,NORTH DAKOTA,OHIO,OKLAHOMA,OREGON,PENNSYLVANIA,RHODE ISLAND,SOUTH CAROLINA,SOUTH DAKOTA,TENNESSEE,TEXAS,UTAH,VERMONT,VIRGINIA,WASHINGTON,WEST VIRGINIA,WISCONSIN,WYOMING
1968,15,0.41,12.28,4.64,-,3.14,4.53,7.35,0.94,0.26,2.18,-,1.63,2.30,2.19,3.34,15.80,-,2.00,0.03,0.10,0.87,5.96,7.85,-,0.18,0.02,4.29,3.68,3.88,1.13,1.44,1.61,-,-,3.86,0.49,0.16,0.50,-,4.12,0.04,-,2.42,4.05,1.17,6.28,0.66,7.49,3.12,12.15,3.40
1968,16,0.17,0.70,3.33,-,1.76,3.82,3.58,2.43,-,0.56,-,2.72,0.86,2.52,2.79,9.67,1.53,1.47,-,1.81,0.55,3.68,5.34,0.68,0.27,0.11,1.29,0.75,-,0.14,1.86,0.60,-,-,14.81,2.18,0.12,0.10,-,7.27,0.16,-,4.02,4.55,1.75,6.05,0.48,5.57,4.25,10.54,0.31
1968,17,0.49,2.46,2.50,0.11,2.62,5.19,3.17,0.94,2.06,1.82,-,7.63,1.01,0.97,2.53,15.84,0.14,0.56,-,1.71,1.26,2.83,3.84,0.51,0.09,0.02,1.14,1.16,2.16,0.71,0.66,2.01,-,-,14.81,1.35,0.08,1.80,-,4.56,0.27,-,2.29,4.01,0.19,4.65,1.18,8.38,4.08,11.46,-
1968,18,0.58,3.51,2.68,0.05,3.42,4.86,2.70,1.12,-,1.03,-,3.13,1.73,1.45,4.24,10.88,1.99,4.91,-,0.91,0.92,4.91,5.84,0.73,-,0.35,2.00,1.64,0.86,0.28,0.97,1.91,-,-,11.76,0.85,0.28,2.10,-,4.23,0.31,-,4.02,3.78,3.30,8.37,0.22,8.53,2.72,13.97,3.09
1968,19,0.44,2.11,5.29,0.16,-,3.54,6.44,0.75,0.13,0.68,-,3.00,2.01,1.76,3.59,12.88,0.14,1.78,0.03,2.31,0.76,4.24,8.12,0.49,-,0.18,4.00,0.34,-,0.85,1.03,0.60,-,-,9.02,0.37,0.04,1.65,-,12.36,0.70,-,3.87,3.26,1.26,0.93,0.90,7.06,3.69,10.22,0.62
1968,20,0.29,3.16,3.86,0.05,3.34,2.55,3.58,2.43,1.41,0.98,-,11.04,1.29,0.81,4.24,12.70,1.58,0.85,0.03,0.30,1.05,3.58,4.65,0.08,-,3.39,2.43,1.91,-,0.56,1.93,7.04,-,-,6.76,0.35,0.04,0.80,-,2.60,-,-,2.94,4.05,0.97,6.51,0.79,4.04,2.89,9.99,-
1968,21,0.12,4.56,4.04,-,2.47,3.21,3.21,1.31,1.54,2.01,-,2.18,1.29,1.69,1.69,11.31,-,0.50,0.03,0.50,1.13,3.26,5.09,1.16,-,0.18,2.43,2.79,-,1.55,2.07,7.04,-,-,4.51,0.65,0.80,2.89,-,2.60,-,-,3.95,2.98,2.43,2.09,0.37,8.04,2.89,11.21,-
1968,22,0.06,5.61,3.98,-,2.52,4.43,2.67,0.94,-,0.45,-,2.72,0.14,0.60,1.59,9.78,-,0.91,0.22,0.20,0.71,3.03,4.27,0.68,0.09,2.54,1.29,1.70,-,2.12,0.57,1.71,-,-,2.90,0.46,0.52,1.25,-,3.04,0.23,-,1.47,2.30,1.26,0.70,0.64,5.29,2.16,10.26,-
1968,23,0.52,4.56,2.56,0.05,2.63,1.32,2.06,-,0.39,0.54,-,1.63,0.43,0.67,0.43,7.06,-,1.47,-,0.50,0.50,3.38,3.48,0.51,-,-,1.43,2.18,-,0.28,0.91,1.01,-,-,-,0.22,-,3.04,-,1.95,0.08,-,4.15,3.16,4.08,1.16,1.10,2.11,3.74,7.30,1.23
1968,24,0.41,3.16,4.82,-,2.29,1.93,3.54,2.43,0.77,0.93,-,8.17,0.58,1.24,1.00,4.82,-,0.50,0.06,0.91,0.92,3.15,3.94,0.95,0.14,0.28,0.86,-,-,0.56,0.91,1.41,-,-,-,0.26,0.04,0.75,-,3.90,0.20,-,2.68,2.32,1.36,3.95,0.66,2.63,2.38,7.23,-
1968,25,0.26,1.75,2.38,-,2.52,0.75,2.40,0.94,1.29,0.84,-,1.50,0.58,0.56,0.94,-,0.59,2.28,0.03,1.31,0.76,2.12,-,0.68,-,0.04,1.14,0.07,-,0.14,1.40,0.10,-,-,-,0.50,-,0.50,-,3.47,-,-,3.04,1.91,2.04,2.56,0.48,0.31,2.55,6.26,-
1968,26,0.20,5.61,1.78,0.11,0.92,0.80,2.43,1.12,1.03,0.40,-,1.63,1.73,0.65,0.63,1.93,0.05,0.41,0.08,0.91,0.08,3.52,1.36,0.03,0.18,0.09,1.86,-,-,-,0.53,1.31,-,-,-,0.64,0.04,0.95,-,5.53,0.08,-,2.04,1.34,0.68,1.16,1.14,0.52,1.87,6.03,-
1968,27,0.12,3.16,2.85,-,0.60,0.57,0.84,0.75,-,0.40,-,0.41,2.01,0.22,-,0.68,-,1.31,-,1.21,0.39,1.87,0.56,0.05,-,-,0.43,-,-,0.28,0.10,-,-,-,-,0.17,-,1.00,-,4.34,0.08,-,1.37,1.12,0.97,0.70,0.37,0.37,1.08,4.95,0.62
1968,28,0.23,1.40,2.79,-,0.62,1.70,0.98,0.75,1.16,0.25,-,3.54,3.02,0.22,0.35,1.39,0.09,0.06,-,0.50,0.71,1.57,0.56,-,-,0.02,0.71,-,-,0.28,0.36,0.30,-,-,-,0.29,-,0.75,-,3.15,0.04,-,1.73,1.16,3.60,-,0.09,0.15,1.42,5.02,-
1968,29,0.32,3.86,1.43,-,0.65,1.08,0.40,0.56,-,0.30,-,1.09,1.01,0.19,-,0.68,-,0.16,-,-,0.45,1.48,0.29,-,-,0.20,0.86,0.27,-,0.14,0.26,0.50,-,-,1.45,0.12,-,0.75,-,1.74,-,-,1.78,-,3.79,-,0.37,0.37,2.21,4.05,-
1968,30,0.15,6.67,1.66,-,0.39,0.80,0.54,0.19,1.03,0.47,-,3.41,1.73,0.24,0.39,0.86,0.05,0.81,-,1.11,0.39,0.89,0.37,0.03,-,0.07,0.57,-,-,-,0.09,0.20,-,-,0.97,0.15,-,0.65,-,0.98,-,-,1.60,0.82,0.39,0.70,0.15,0.15,0.91,3.13,0.31
1968,31,0.12,1.40,0.71,-,0.56,1.79,0.88,0.75,0.39,0.34,-,5.04,0.14,0.13,0.33,0.46,-,1.19,-,0.50,0.45,1.53,0.45,0.03,-,0.09,1.43,-,-,0.28,0.26,0.30,-,-,0.81,0.16,-,0.35,-,0.54,0.04,-,0.88,0.93,2.33,3.26,0.20,0.24,1.99,2.37,-
1968,32,0.15,3.51,1.13,0.05,0.52,0.47,0.57,1.69,-,0.30,-,1.63,0.43,0.08,0.31,0.29,-,0.25,-,0.10,0.16,0.85,0.23,0.05,0.05,-,-,-,-,0.28,0.03,0.80,-,-,-,0.11,0.08,1.15,-,0.87,-,-,0.62,0.92,-,1.40,0.04,0.55,1.36,2.09,-
1968,33,0.09,1.75,2.91,-,0.72,0.75,0.71,0.19,-,0.25,-,0.41,0.29,0.16,0.49,-,-,0.22,-,0.40,0.13,0.48,0.56,0.08,0.09,-,0.71,-,-,-,0.06,0.50,-,-,0.81,0.35,-,0.25,-,1.41,0.12,-,0.90,0.71,3.11,1.86,0.35,0.15,1.30,2.12,-
